,Espoo,Hanko,Helsinki,Hämeenlinna,Iisalmi,Imatra,Joensuu,Jyväskylä,Jämsä,Kajaani,Karjaa,Kemi,Kemijärvi,Kirkkonummi,Kokemäki,Kokkola,Kontiomäki,Kotka Harbour,Kouvola,Kuopio,Lahti,Lappeenranta,Mikkeli,Oulu,Parikkala,Pasila,Pieksämäki,Pori,Riihimäki,Rovaniemi,Salo,Seinäjoki,Tampere,Toijala,Tornio,Turku,Vaasa
Espoo,0,105.9,18.5,109.3,489.4,291.7,466.8,319.7,269.5,685.3,58.9,715.5,869.6,15.1,263.3,452.7,625,221.8,174.9,411.1,117.2,257.8,271.2,624.7,348.5,15.3,339.6,302.5,75.9,791,104.3,335.3,183.8,146.9,738.1,152.1,405.9
Hanko,105.9,0,124.4,215.2,595.3,397.5,572.6,425.6,375.4,791.2,47,821.3,975.5,90.8,369.2,558.6,730.9,327.6,280.8,517,223,363.7,377.1,730.6,454.4,121.2,445.5,408.4,181.7,896.9,92.3,441.1,289.7,252.8,844,140.2,511.8
Helsinki,18.5,124.4,0,97.1,470.9,273.1,448.2,307.5,257.3,666.8,77.4,703.3,857.4,33.6,251.1,440.5,606.5,203.2,156.4,392.6,98.6,239.3,252.7,612.5,330,3.2,321.1,290.3,63.7,778.8,122.8,323.1,171.6,134.7,726,170.6,393.7
Hämeenlinna,109.3,215.2,97.1,0,433.6,370.3,545.4,210.4,160.2,629.4,168.2,606.1,760.3,124.4,154,343.4,569.1,300.4,253.6,355.3,195.8,336.5,349.9,515.4,427.2,94,283.7,193.1,33.5,681.7,203.3,225.9,74.5,37.6,628.8,155.4,296.5
Iisalmi,489.4,595.3,470.9,433.6,0,431.2,606.3,223.2,273.4,195.8,548.4,425.3,579.5,504.6,438.6,506.6,135.5,361.3,314.5,78.3,372.3,397.4,218.2,334.6,488.1,474.1,149.8,477.8,467,500.9,561.7,510.6,359.1,396,448,513.8,581.2
Imatra,291.7,397.5,273.1,370.3,431.2,0,175.1,354.7,404.9,627,350.6,856.5,1010.7,306.8,524.3,713.7,566.7,163.5,116.7,352.9,174.5,33.8,213,765.8,56.9,276.3,281.4,563.4,336.8,932.1,395.9,596.2,444.7,407.9,879.2,443.8,666.8
Joensuu,466.8,572.6,448.2,545.4,606.3,175.1,0,529.8,580,802.1,525.7,1031.6,1185.8,481.9,699.4,888.8,741.8,338.6,291.8,528,349.6,208.9,388.1,940.9,118.2,451.4,456.5,738.5,511.9,1107.2,571,771.3,619.8,583,1054.3,618.9,841.9
Jyväskylä,319.7,425.6,307.5,210.4,223.2,354.7,529.8,0,50.2,419,378.6,648.5,802.7,334.8,215.4,404.8,358.7,284.8,238,144.9,295.8,320.9,141.7,557.8,411.6,304.4,73.4,254.6,243.8,724.1,338.5,287.4,135.9,172.8,671.2,290.6,358
Jämsä,269.5,375.4,257.3,160.2,273.4,404.9,580,50.2,0,469.2,328.4,617.4,771.5,284.6,165.2,354.6,408.9,335.1,288.2,195.1,346,371.1,191.9,526.6,461.8,254.1,123.6,204.4,193.6,692.9,288.3,237.2,85.7,122.6,640.1,240.4,307.8
Kajaani,685.3,791.2,666.8,629.4,195.8,627,802.1,419,469.2,0,744.2,229.5,383.7,700.4,634.5,310.7,60.3,557.1,510.3,274.1,568.1,593.2,414,138.7,683.9,669.9,345.7,673.6,662.9,305.1,757.5,428.2,554.9,591.8,252.2,709.7,498.8
